Word,Count,Percentage of total,Cumulative percentage of total
ν#,251,0.03,74.88
Ἀμώνιος,251,0.03,74.9
Μέγιστος,251,0.03,74.93
γεωμετρία,251,0.03,74.95
ἐντάσσω,250,0.03,74.98
ἐποίκιον,249,0.02,75.0
Εὐδαίμων,249,0.02,75.03
μήτε,248,0.02,75.05
ἀπολύω,247,0.02,75.08
ἔργον,246,0.02,75.1
Ἀντώνιος,246,0.02,75.13
Παρθικός,246,0.02,75.15
ἀπαιτητής,246,0.02,75.18
βαλανικός,246,0.02,75.2
ἔξεστι,245,0.02,75.23
δοκέω,245,0.02,75.25
παρακαλέω,244,0.02,75.27
τοπαρχία,244,0.02,75.3
δοῦλος,242,0.02,75.32
φοῖνιξ,242,0.02,75.35
σπέρμα,241,0.02,75.37
χόρτος,241,0.02,75.4
χρηματισμός,241,0.02,75.42
ἐπάγω,239,0.02,75.44
Μαξιμιανός,239,0.02,75.47
τάξις,238,0.02,75.49
κωμογραμματεύς,237,0.02,75.52
Εὐτυχώ,236,0.02,75.54
ἁπλόος,235,0.02,75.56
βεβαίωσις,234,0.02,75.59
χράω,234,0.02,75.61
ὁμολογία,234,0.02,75.63
Σωτήρ,234,0.02,75.66
ὑπόμνημα,232,0.02,75.68
Ἀφροδίτη,232,0.02,75.7
παραγίγνομαι,230,0.02,75.73
φόρετρον,230,0.02,75.75
Φιλοπάτωρ,229,0.02,75.77
μένω,228,0.02,75.79
δώδεκα,226,0.02,75.82
ὑμέτερος,226,0.02,75.84
καθίστημι,226,0.02,75.86
ξδ´#,225,0.02,75.88
σφραγίς,225,0.02,75.91
κίνδυνος,225,0.02,75.93
πρόβατον,223,0.02,75.95
ἔνδοξος,223,0.02,75.97
ἐκεῖνος,221,0.02,76.0
πληρόω,221,0.02,76.02
Φιλαδέλφεια,221,0.02,76.04
χέρσος,220,0.02,76.06
καταλείπω,220,0.02,76.08
προστάσσω,220,0.02,76.11
εἰσέρχομαι,219,0.02,76.13
Νεῖλος,219,0.02,76.15
ἐπίτροπος,219,0.02,76.17
ἐπιφέρω,219,0.02,76.19
ἱππεύς,219,0.02,76.22
Μέμφις,218,0.02,76.24
ὅστις,218,0.02,76.26
δηνάριον,218,0.02,76.28
Ἀρτεμίδωρος,218,0.02,76.3
τοιοῦτος,217,0.02,76.32
Διογένης,217,0.02,76.35
τίς,216,0.02,76.37
φημί,215,0.02,76.39
ἀποτίνω,215,0.02,76.41
φέρω,215,0.02,76.43
Θέμιστος,214,0.02,76.45
Φιλάδελφος,214,0.02,76.48
ὑπόκειμαι,213,0.02,76.5
ἑκούσιος,213,0.02,76.52
βουλευτής,212,0.02,76.54
Παῦλος,212,0.02,76.56
πρόσοδος,211,0.02,76.58
Αὔγουστος,211,0.02,76.6
ἀννώνη,211,0.02,76.62
μάτιον,211,0.02,76.64
Διόσκορος,210,0.02,76.67
ἄσημος,209,0.02,76.69
ἀριθμός,209,0.02,76.71
μελίχρως,208,0.02,76.73
Μάρων,208,0.02,76.75
ἐννέα,208,0.02,76.77
παιδίον,208,0.02,76.79
Ἡρᾶς,206,0.02,76.81
ἡμιόλιος,206,0.02,76.83
δίμοιρος,205,0.02,76.85
καλέω,205,0.02,76.87
ἡμέτερος,201,0.02,76.89
Πτολεμαίς,200,0.02,76.91
τελωνέω,200,0.02,76.93
βασιλεύω,200,0.02,76.95
Λυσίμαχος,199,0.02,76.97
τύχη,198,0.02,76.99
φυλακία,198,0.02,77.01
σπείρω,197,0.02,77.03
λϛ#,197,0.02,77.05
ναύβιον,197,0.02,77.07
Ἁρποκρατίων,197,0.02,77.09
αἰώνιος,197,0.02,77.11
ὅρμος,197,0.02,77.13
ὠνέομαι,197,0.02,77.15
τετρώβολος,196,0.02,77.17
ἀναφέρω,196,0.02,77.19
τριακόσιοι,196,0.02,77.21
Σαβεῖνος,195,0.02,77.23
ἀνάλωμα,195,0.02,77.25
σιτικός,193,0.02,77.27
παραχωρέω,193,0.02,77.29
ἀπαιτέω,192,0.02,77.31
διοίκησις,192,0.02,77.32
Ἡλιόδωρος,192,0.02,77.34
νόμος,191,0.02,77.36
Βερενίκη,191,0.02,77.38
Περτίναξ,188,0.02,77.4
ἄνθρωπος,188,0.02,77.42
Φίλων,188,0.02,77.44
χρυσίον,188,0.02,77.46
ἐνιαυτός,188,0.02,77.48
Πετοσῖρις,188,0.02,77.5
Ὀρσενοῦφις,186,0.02,77.51
λγ,186,0.02,77.53
μάρτυς,186,0.02,77.55
Πετεμενωφις,186,0.02,77.57
ἕβδομος,185,0.02,77.59
Κλεοπάτρη,185,0.02,77.61
τετρακόσιοι,184,0.02,77.62
εἶδος,184,0.02,77.64
Ἱέραξ,183,0.02,77.66
σάκκος,183,0.02,77.68
Ψεναμουνις,183,0.02,77.7
Πετεχῶνσις,183,0.02,77.72
Φίλιππος,182,0.02,77.73
σιτολόγος,181,0.02,77.75
φροντιστής,181,0.02,77.77
σιτόλογος,180,0.02,77.79
ἤδη,180,0.02,77.81
Ψενχωνσις,180,0.02,77.82
παραφέρω,179,0.02,77.84
ἐπιφανής,179,0.02,77.86
διάκονος,179,0.02,77.88
Παναμεύς,179,0.02,77.9
ἔδαφος,178,0.02,77.91
Νερούα,177,0.02,77.93
ἀναγκαῖος,177,0.02,77.95
κόλλαθον,177,0.02,77.97
πεντακόσιοι,176,0.02,77.98
Ἀσκλᾶς,175,0.02,78.0
βέβαιος,175,0.02,78.02
ἐπίτιμος,175,0.02,78.04
Εὐεργέτης,175,0.02,78.05
