Word,Count,Percentage of total,Cumulative percentage of total
ἀειπάρθενος,33,0.02,84.43
ἀφήλικος,32,0.02,84.46
Τραιανός,32,0.02,84.48
ἰσχυρός,32,0.02,84.5
πρακτόρειος,32,0.02,84.52
τετράμηνος,32,0.02,84.55
νοτινός,32,0.02,84.57
χειμερινός,32,0.02,84.59
γονικός,32,0.02,84.61
τριέτης,32,0.02,84.64
διαλυτικός,32,0.02,84.66
συστατικός,31,0.02,84.68
ἀσινής,31,0.02,84.7
τετράπους,31,0.02,84.72
ἀνίκητος,31,0.02,84.75
σῶς,31,0.02,84.77
ἀπερίσπαστος,31,0.02,84.79
ὑπεναντίος,31,0.02,84.81
γενέθλιος,31,0.02,84.83
ὑπομνηστικός,31,0.02,84.86
ἐντολικός,31,0.02,84.88
ἑβδομηκοντάρουρος,31,0.02,84.9
ἄχρηστος,31,0.02,84.92
πολύκωπος,31,0.02,84.94
ἐρεοῦς,30,0.02,84.96
Γερμανίκειος,30,0.02,84.99
πεδιακός,30,0.02,85.01
ἀνηλωτικός,30,0.02,85.03
Θεσσαλός,30,0.02,85.05
μισθωτός,30,0.02,85.07
σπουδαῖος,30,0.02,85.09
ἰλλούστριος,30,0.02,85.11
ὀκτάδραχμος,30,0.02,85.13
ἀντλητικός,30,0.02,85.15
Μενδήσιος,30,0.02,85.18
κατάγαιος,29,0.02,85.2
Εὐημέριος,29,0.02,85.22
τῆν,29,0.02,85.24
θερινός,29,0.02,85.26
τετραετής,29,0.02,85.28
λινόυφος,29,0.02,85.3
ἄθλιος,29,0.02,85.32
πιστικός,29,0.02,85.34
εἰκοσιπεντάρουρος,29,0.02,85.36
Ἀπιάς,28,0.02,85.38
ὁμότυπος,28,0.02,85.4
ὑπόκλαστος,28,0.02,85.42
γνώριμος,28,0.02,85.44
ἔνγραφος,28,0.02,85.46
ἐκδόσιμος,28,0.02,85.48
μηδεμιός,28,0.02,85.5
ὀπτός,28,0.02,85.52
τελευταῖος,28,0.02,85.54
ὑπουργός,28,0.02,85.56
ξυστός,28,0.02,85.58
μαγιστριανός,28,0.02,85.6
ἔκκλητος,28,0.02,85.62
εἰρηνικός,28,0.02,85.64
πρωτοβόλος,28,0.02,85.66
σκωληκόβρωτος,28,0.02,85.68
Παρεμβολός,27,0.02,85.7
τετράγωνος,27,0.02,85.71
γραπτός,27,0.02,85.73
δημαρχικός,27,0.02,85.75
ποθεινός,27,0.02,85.77
ὄβρυζος,27,0.02,85.79
βουλευτικός,27,0.02,85.81
Θαράπειος,27,0.02,85.83
ἄτοπος,26,0.02,85.85
κόσιοι,26,0.02,85.87
πενταετής,26,0.02,85.88
ὕστερος,26,0.02,85.9
θαλάσσιος,26,0.02,85.92
δεκανικός,26,0.02,85.94
σύνπας,26,0.02,85.96
ἀποίητος,26,0.02,85.98
νήπιος,26,0.02,85.99
ὀρεινός,26,0.02,86.01
καύσιμος,26,0.02,86.03
ἱππόκομος,26,0.02,86.05
Καράνιος,25,0.02,86.07
ἐτήσιος,25,0.02,86.08
λευκόχρους,25,0.02,86.1
ἐπιμήνιος,25,0.02,86.12
φόριμος,25,0.02,86.14
σιδήρεος,25,0.02,86.16
ἀξιόχρεως,25,0.02,86.17
ἐπίπεδος,25,0.02,86.19
ἀξιόπιστος,25,0.02,86.21
ἐγγύς,25,0.02,86.23
ἰατρικός,25,0.02,86.24
γυμνός,25,0.02,86.26
ὠνιακός,25,0.02,86.28
ἄτρωτος,25,0.02,86.3
ἀβλαβής,25,0.02,86.31
ὑπομνηματογράφος,25,0.02,86.33
τεκτονικός,25,0.02,86.35
ἀρόσιμος,25,0.02,86.37
ὀρνιθοτρόφος,25,0.02,86.38
χάλκινος,24,0.02,86.4
ἐμπόδιος,24,0.02,86.42
οἰκουμενικός,24,0.02,86.44
Ἑρμουθιακός,24,0.02,86.45
ἀναφάλακρος,24,0.02,86.47
ἀνέγκλητος,24,0.02,86.49
Ἀδιαβηνικός,24,0.02,86.5
πρόθυμος,24,0.02,86.52
