Word,Count,Percentage of total,Cumulative percentage of total
βασίλειος,13,0.04,76.06
ἔμπορος,13,0.04,76.1
εἴκοσιν,13,0.04,76.15
εὐήθης,13,0.04,76.19
ἔννομος,13,0.04,76.23
ὕποπτος,13,0.04,76.28
φίλιος,13,0.04,76.32
ἀτείχιστος,13,0.04,76.37
ἐνιαύσιος,13,0.04,76.41
λυσιτελής,13,0.04,76.45
ἀμήχανος,13,0.04,76.5
ἀκίνδυνος,13,0.04,76.54
ἀνθρώπειος,13,0.04,76.59
λίθινος,13,0.04,76.63
ὄλβιος,13,0.04,76.67
εὐτυχής,13,0.04,76.72
ἄκρατος,13,0.04,76.76
ὀξύς2,13,0.04,76.8
νυκτερινός,13,0.04,76.85
σκληρός,13,0.04,76.89
παράβολος,13,0.04,76.94
ταλαίπωρος,13,0.04,76.98
ἀμ̄ακαῖος,13,0.04,77.02
ἕνος,13,0.04,77.07
διαβόητος,13,0.04,77.11
ἐπισφαλής,13,0.04,77.16
ἄθλιος,12,0.04,77.2
ἄκριτος,12,0.04,77.24
πελάγιος,12,0.04,77.28
τυραννικός,12,0.04,77.32
ἄδοξος,12,0.04,77.36
ἱστορικός,12,0.04,77.4
χαριστήριος,12,0.04,77.44
ἔγγιστος,12,0.04,77.48
ἁγνός,12,0.04,77.52
ἀπόγονος,12,0.04,77.56
αὐτόμολος,12,0.04,77.6
ἀπαθής,12,0.04,77.64
κακοῦργος,12,0.04,77.68
ἀνήκεστος,12,0.04,77.72
περίβολος,12,0.04,77.76
εὔκαιρος,12,0.04,77.8
μισθόφορος,12,0.04,77.84
χαρίεις,12,0.04,77.88
ἄψυχος,12,0.04,77.92
ὀλιγαρχικός,12,0.04,77.96
κωμικός,12,0.04,78.01
ἀπαράσκευος,12,0.04,78.05
τραγικός,12,0.04,78.09
ἀντίδικος,12,0.04,78.13
τάλας,12,0.04,78.17
προτεραῖος,11,0.04,78.2
ἀρχηγός,11,0.04,78.24
δόκιμος,11,0.04,78.28
ἐπώνυμος,11,0.04,78.32
ἔκγονος,11,0.04,78.35
πλάγιος,11,0.04,78.39
θεοπρόπος,11,0.04,78.43
ὁμόγλωσσος,11,0.04,78.46
παντοῖος,11,0.04,78.5
στρατηγικός,11,0.04,78.54
τετράγωνος,11,0.04,78.58
ἰδιωτικός,11,0.04,78.61
κοῦφος,11,0.04,78.65
προσφιλής,11,0.04,78.69
ἔμψυχος,11,0.04,78.72
ὑγρός,11,0.04,78.76
ἀκίνητος,11,0.04,78.8
ζηλωτός,11,0.04,78.83
μεγαλόψυχος,11,0.04,78.87
κόσμιος,11,0.04,78.91
δουλικός,11,0.04,78.95
ἔντιμος,11,0.04,78.98
βλαβερός,11,0.04,79.02
ἄφρων,11,0.04,79.06
ὑπερδέξιος,11,0.04,79.09
μοναρχικός,11,0.04,79.13
κόιλος,10,0.03,79.17
ἀνωφελής,10,0.03,79.2
δυσμενής,10,0.03,79.23
πένης,10,0.03,79.27
ἅγιος,10,0.03,79.3
σύντομος,10,0.03,79.33
μεγαλοπρεπής,10,0.03,79.37
δισσός,10,0.03,79.4
σύμμετρος,10,0.03,79.44
ἀφύλακτος,10,0.03,79.47
ὀρεινός,10,0.03,79.5
ἄνοπλος,10,0.03,79.54
θερινός,10,0.03,79.57
χειμερινός,10,0.03,79.6
πρόσοικος,10,0.03,79.64
καταδεής,10,0.03,79.67
ἐρυμνός,10,0.03,79.71
αἰφνίδιος,10,0.03,79.74
γηραιός,10,0.03,79.77
χαλκοῦς,10,0.03,79.81
τιμωρός,10,0.03,79.84
νήπιος,10,0.03,79.87
ἀχρεῖος,10,0.03,79.91
τετρακισμύριοι,10,0.03,79.94
παράλογος,10,0.03,79.98
φυσικός,10,0.03,80.01
δεσποτικός,10,0.03,80.04
ψυχρός,10,0.03,80.08
βάσκανος,10,0.03,80.11
ἀβλαβής,10,0.03,80.14
ὑπαίθριος,10,0.03,80.18
σκεπτέος,10,0.03,80.21
ξένος,10,0.03,80.24
σχέτλιος,10,0.03,80.28
ὑπερήμερος,10,0.03,80.31
πρόχειρος,10,0.03,80.35
βάναυσος,10,0.03,80.38
ἀνθύπατος,10,0.03,80.41
παραθαλάσσιος,9,0.03,80.44
εὐμενής,9,0.03,80.47
φίλτατος,9,0.03,80.5
