Word,Count,Percentage of total,Cumulative percentage of total
ἄκρατος,8,0.02,77.21
ἱππόκομος,8,0.02,77.24
βίαιος,8,0.02,77.26
δύσφρων,8,0.02,77.28
πολύφλοισβος,8,0.02,77.3
τελήεις,8,0.02,77.33
μινυνθάδιος,8,0.02,77.35
ἑκατηβόλος,8,0.02,77.37
ἐπασσύτερος,8,0.02,77.39
ὀνείδειος,8,0.02,77.42
ἀμφιέλισσα,8,0.02,77.44
ἀρίζηλος,8,0.02,77.46
ἄρκιος,8,0.02,77.48
ἀμέγαρτος,8,0.02,77.51
ἀγέρωχος,8,0.02,77.53
εὔπηκτος,8,0.02,77.55
ἀλαπαδνός,8,0.02,77.57
λάινος,8,0.02,77.6
κάλη,8,0.02,77.62
κραναός,8,0.02,77.64
τανύπεπλος,8,0.02,77.66
ἐπίορκος,8,0.02,77.69
ἀτέλεστος,8,0.02,77.71
γηθόσυνος,8,0.02,77.73
εὔπεπλος,8,0.02,77.75
ἀτερπής,8,0.02,77.78
εὐφρονέων,8,0.02,77.8
τανηλεγής,8,0.02,77.82
διαπρύσιος,8,0.02,77.84
πηγός,8,0.02,77.87
ἀεργός,8,0.02,77.89
ἐχέφρων,8,0.02,77.91
ἐπαινός,8,0.02,77.93
βαθύζωνος,8,0.02,77.96
γλυκερός,8,0.02,77.98
μω~νυξ,8,0.02,78.0
φίλτερος,8,0.02,78.02
θεσπιδαής,8,0.02,78.05
περιμήκης,8,0.02,78.07
ἀρίγνωτος,8,0.02,78.09
ἐυστρεφής,8,0.02,78.11
ὑψίκομος,8,0.02,78.14
νεώτερος,8,0.02,78.16
τιμήεις,8,0.02,78.18
ἑσπέριος,8,0.02,78.2
ἀριφραδής,8,0.02,78.23
ταλαεργός,8,0.02,78.25
ἀμαυρός,8,0.02,78.27
πολυήρατος,8,0.02,78.29
βαρύκτυπος,8,0.02,78.32
σκληρός,7,0.02,78.34
ἀνήκεστος,7,0.02,78.35
ἀδάματος,7,0.02,78.37
Λύκιος,7,0.02,78.39
ἐχθίων,7,0.02,78.41
ἄδηλος,7,0.02,78.43
ἁπλόος,7,0.02,78.45
ἥκιστος,7,0.02,78.47
ἄφιλος,7,0.02,78.49
τριπλόος,7,0.02,78.51
παλαίφατος,7,0.02,78.53
καινός,7,0.02,78.55
τελευταῖος,7,0.02,78.57
σύνοικος,7,0.02,78.59
δυσδαίμων,7,0.02,78.61
ἀγώνιος,7,0.02,78.63
πολύπονος,7,0.02,78.65
ἄπειρος,7,0.02,78.67
μεταίτιος,7,0.02,78.69
ἄφυκτος,7,0.02,78.71
ἐλάσσων,7,0.02,78.73
παλίντονος,7,0.02,78.75
βαθύρροος,7,0.02,78.77
πετραῖος,7,0.02,78.79
ἄσημος,7,0.02,78.81
ἀμφίρυτος,7,0.02,78.83
πτηνός,7,0.02,78.85
δυνατός,7,0.02,78.87
ἀγελαῖος,7,0.02,78.89
ἐννύχιος,7,0.02,78.91
ἥσυχος,7,0.02,78.93
λοίσθιος,7,0.02,78.95
̓ἀχαιός,7,0.02,78.97
Τρωικός,7,0.02,78.98
ἄυπνος,7,0.02,79.0
λάβρος,7,0.02,79.02
πολύπλαγκτος,7,0.02,79.04
μνήμων,7,0.02,79.06
μογερός,7,0.02,79.08
ἄλυτος,7,0.02,79.1
μιαιφόνος,7,0.02,79.12
ἄδμητος,7,0.02,79.14
φαιδρός,7,0.02,79.16
ἑπτάπυλος,7,0.02,79.18
παγχάλκεος,7,0.02,79.2
νέρτερος,7,0.02,79.22
ἀλαός,7,0.02,79.24
ἄπρακτος,7,0.02,79.26
στερεός,7,0.02,79.28
εὐτείχεος,7,0.02,79.3
θεοείκελος,7,0.02,79.32
οὐτιδανός,7,0.02,79.34
ἄπιος,7,0.02,79.36
μάκαρος,7,0.02,79.38
πολύστονος,7,0.02,79.4
πολυκλήις,7,0.02,79.42
πα~ς,7,0.02,79.44
ἀγκυλομήτης,7,0.02,79.46
ἀνθεμόεις,7,0.02,79.48
πετρήεις,7,0.02,79.5
βόειος,7,0.02,79.52
ὀκριόεις,7,0.02,79.54
βριθύς,7,0.02,79.56
οἶνοψ,7,0.02,79.58
τρήρων,7,0.02,79.6
εὔχαλκος,7,0.02,79.61
ἑτεραλκής,7,0.02,79.63
βλοσυρός,7,0.02,79.65
ὀρυκτός,7,0.02,79.67
αἰπός,7,0.02,79.69
μέρμερος,7,0.02,79.71
κύντερος,7,0.02,79.73
ἠμάτιος,7,0.02,79.75
ἀργιόδους,7,0.02,79.77
ἀσκηθής,7,0.02,79.79
